fecha,prediccion,CATEGORIA,PRODUCTO,tipo
2025-11-01 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-02 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-03 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-04 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-05 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-06 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-07 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-08 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-09 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-10 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-11 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-12 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-13 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-14 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-15 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-16 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-17 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-18 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-19 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-20 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-21 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-22 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-23 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-24 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-25 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-26 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-27 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-28 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-29 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-11-30 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-01 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-02 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-03 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-04 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-05 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-06 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-07 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-08 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-09 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-10 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-11 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-12 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-13 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-14 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
2025-12-15 18:07:45,0.0,Accesorios,Caja para pastel cuadrada (C-paquete/50pza)(S-pza/50),futuro
